"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","App1933 - KMB ‧ LWB","The Kowloon Motor Bus Company (1933) Limited","0","","2016-11-20","123030","https://itunes.apple.com/HK/app/id1170003707"
"2","new","Travel","KKFly","Awesapp Ltd","0","魔力 x 1 : HK$ 8.00 / 魔力 x 10 : HK$ 78.00 / 魔力 x 120 : HK$ 788.00","2018-06-04","84423","https://itunes.apple.com/HK/app/id1374837929"
"3","-","Travel","新巴城巴 CitybusNWFB","Citybus & New World First Bus","0","","2011-10-21","68087","https://itunes.apple.com/HK/app/id472242340"
"4","-","Travel","Uber 優步，全球便捷搭乘","Uber Technologies, Inc.","0","","2010-05-20","42298","https://itunes.apple.com/HK/app/id368677368"
"5","-3","Travel","Trip.com","Ctrip.com international","0","","2013-08-05","17985","https://itunes.apple.com/HK/app/id681752345"
"6","new","Travel","香港遠足路線","YAT SHING TSOI","0","年費訂閱 : HK$ 28.00 / 一次性購買 : HK$ 288.00","2018-07-25","7194","https://itunes.apple.com/HK/app/id1403380232"
"7","+1","Travel","Grab App","Grab.com","0","","2013-05-15","6604","https://itunes.apple.com/HK/app/id647268330"
"8","+7","Travel","MTR Mobile","MTR Corporation Limited","0","","2010-05-13","6500","https://itunes.apple.com/HK/app/id369295276"
"9","+22","Travel","保安一站通","Security Bureau","0","","2016-03-21","6342","https://itunes.apple.com/HK/app/id1067703245"
"10","+3","Travel","HK Express","HK Express","0","","2016-02-14","5485","https://itunes.apple.com/HK/app/id1069758898"
"11","new","Travel","JAPAN Trip Navigator -travel","JTB Corp.","0.0","","2019-10-21","4000","https://itunes.apple.com/HK/app/id1340750911"
"12","-2","Travel","GOGOX (前為GOGOVAN)-即時貨運及速遞叫車","GoGo Tech Limited","0","","2013-10-31","3334","https://itunes.apple.com/HK/app/id708390467"
"13","-7","Travel","HKTaxi - 香港Call的士App","HKTaxi App Limited","0","","2013-06-18","3000","https://itunes.apple.com/HK/app/id660232595"
"14","-9","Travel","KLOOK客路","Klook Travel Technology Limited","0","","2015-04-23","2727","https://itunes.apple.com/HK/app/id961850126"
"15","+4","Travel","國泰航空","Cathay Pacific Airways Limited","0","","2009-02-23","2222","https://itunes.apple.com/HK/app/id305038764"
